n_vertices,beta,order,order_recovery,sum_ground_truth,sum_recov,max_rel_error,max_abs_diff,max_prob,min_prob,runtime_mean,runtime_std,runtime_min,runtime_max
9,1.0,1,1,1.0000000000000007,0.9999999999999989,3.9983199772907016e-13,5.828670879282072e-16,0.18112438588541907,2.0382864411534165e-8,0.005266003091966173,NaN,0.005266003091966173,0.005266003091966173
9,1.0,1,2,1.0000000000000007,1.0000000000000013,5.230329781282255e-13,2.220446049250313e-16,0.18112438588541907,2.0382864411534165e-8,0.03012574144578313,NaN,0.03012574144578313,0.03012574144578313
9,1.0,1,3,1.0000000000000007,1.0,5.691327563577519e-13,2.7755575615628914e-16,0.18112438588541907,2.0382864411534165e-8,0.1117141732,NaN,0.1117141732,0.1117141732
9,1.0,1,4,1.0000000000000007,1.0000000000000002,3.7241494645621967e-13,2.220446049250313e-16,0.18112438588541907,2.0382864411534165e-8,0.3099252304117647,NaN,0.3099252304117647,0.3099252304117647
9,1.0,1,5,1.0000000000000007,1.000000000000001,3.272471119874851e-13,1.942890293094024e-16,0.18112438588541907,2.0382864411534165e-8,0.5821323565555556,NaN,0.5821323565555556,0.5821323565555556
9,1.0,1,6,1.0000000000000007,1.0000000000000004,4.55153979674939e-13,3.3306690738754696e-16,0.18112438588541907,2.0382864411534165e-8,0.8361769235,NaN,0.8361769235,0.8361769235
9,1.0,1,7,1.0000000000000007,0.9999999999999998,3.9825024477102106e-13,2.220446049250313e-16,0.18112438588541907,2.0382864411534165e-8,1.0880813164,NaN,1.0880813164,1.0880813164
9,1.0,1,8,1.0000000000000007,1.000000000000002,6.522094697022328e-13,2.7755575615628914e-16,0.18112438588541907,2.0382864411534165e-8,1.2377338084,NaN,1.2377338084,1.2377338084
9,1.0,2,1,0.9999999999999999,0.9999999999999983,60.40631652943041,0.01420615696066335,0.3878546251456804,5.761220772906263e-9,0.005342808457264957,NaN,0.005342808457264957,0.005342808457264957
9,1.0,2,2,0.9999999999999999,1.0000000000000029,5.985881860339078e-12,1.4432899320127035e-15,0.3878546251456804,5.761220772906263e-9,0.03101751589506173,NaN,0.03101751589506173,0.03101751589506173
9,1.0,2,3,0.9999999999999999,1.0000000000000022,1.3238214741100244e-11,1.5343629145014859e-15,0.3878546251456804,5.761220772906263e-9,0.11018008786956522,NaN,0.11018008786956522,0.11018008786956522
9,1.0,2,4,0.9999999999999999,0.9999999999999997,6.319411964236026e-12,1.5313271484185265e-15,0.3878546251456804,5.761220772906263e-9,0.312602690125,NaN,0.312602690125,0.312602690125
9,1.0,2,5,0.9999999999999999,0.9999999999999972,1.3727001924943672e-11,1.164866814118426e-15,0.3878546251456804,5.761220772906263e-9,0.5984222686666666,NaN,0.5984222686666666,0.5984222686666666
9,1.0,2,6,0.9999999999999999,0.9999999999999968,1.2508461645446205e-11,1.20346441145891e-15,0.3878546251456804,5.761220772906263e-9,0.8504604931666666,NaN,0.8504604931666666,0.8504604931666666
9,1.0,2,7,0.9999999999999999,1.0000000000000024,1.994116619459293e-11,1.609823385706477e-15,0.3878546251456804,5.761220772906263e-9,1.0750772417999999,NaN,1.0750772417999999,1.0750772417999999
9,1.0,2,8,0.9999999999999999,1.0000000000000033,6.934066451873923e-12,1.5543122344752192e-15,0.3878546251456804,5.761220772906263e-9,1.2403308834000002,NaN,1.2403308834000002,1.2403308834000002
9,1.0,3,1,1.0,1.0000000000000016,31.7797276630794,0.007391257223197112,0.426100847142677,5.338594392647564e-10,0.00531694335706695,NaN,0.00531694335706695,0.00531694335706695
9,1.0,3,2,1.0,1.0000000000000022,9.426219187910242e8,0.8515391626140886,0.426100847142677,5.338594392647564e-10,0.03114256806832298,NaN,0.03114256806832298,0.03114256806832298
9,1.0,3,3,1.0,1.0000000000000004,1.5673539279621313e-9,1.1570605584765303e-15,0.426100847142677,5.338594392647564e-10,0.11116885648888888,NaN,0.11116885648888888,0.11116885648888888
9,1.0,3,4,1.0,1.000000000000019,4.087159833140336e-10,3.536992747299461e-15,0.426100847142677,5.338594392647564e-10,0.31542790625,NaN,0.31542790625,0.31542790625
9,1.0,3,5,1.0,1.000000000000016,3.306792939392862e-10,2.9549930211092423e-15,0.426100847142677,5.338594392647564e-10,0.5896155463333334,NaN,0.5896155463333334,0.5896155463333334
9,1.0,3,6,1.0,1.0000000000000115,7.845414986625196e-10,2.1094237467877974e-15,0.426100847142677,5.338594392647564e-10,0.8524429998333334,NaN,0.8524429998333334,0.8524429998333334
9,1.0,3,7,1.0,1.0000000000000089,5.72485875624577e-10,3.582488580962384e-15,0.426100847142677,5.338594392647564e-10,1.063122825,NaN,1.063122825,1.063122825
9,1.0,3,8,1.0,1.0000000000000087,3.842630763052014e-10,3.0381513277388805e-15,0.426100847142677,5.338594392647564e-10,1.2245144498,NaN,1.2245144498,1.2245144498
9,1.0,4,1,0.9999999999999998,0.9999999999999984,715.4558806429935,0.0059022793196576995,0.43068520588099474,5.696220288402272e-11,0.0052678634762908325,NaN,0.0052678634762908325,0.0052678634762908325
9,1.0,4,2,0.9999999999999998,1.0000000000000098,345263.7811351918,0.00225919611885663,0.43068520588099474,5.696220288402272e-11,0.03088093285185185,NaN,0.03088093285185185,0.03088093285185185
9,1.0,4,3,0.9999999999999998,1.0000000003418623,2.196616925815642e10,7.198491746702548,0.43068520588099474,5.696220288402272e-11,0.11047181334782609,NaN,0.11047181334782609,0.11047181334782609
9,1.0,4,4,0.9999999999999998,1.000000000000008,8.091009381575879e-8,1.1235858164010404e-15,0.43068520588099474,5.696220288402272e-11,0.3132371199375,NaN,0.3132371199375,0.3132371199375
9,1.0,4,5,0.9999999999999998,1.0000000000000178,7.271368482137049e-8,2.757575475609156e-15,0.43068520588099474,5.696220288402272e-11,0.5805053981111111,NaN,0.5805053981111111,0.5805053981111111
9,1.0,4,6,0.9999999999999998,1.000000000000015,8.131662392800543e-8,1.9984014443252818e-15,0.43068520588099474,5.696220288402272e-11,0.8540879026666667,NaN,0.8540879026666667,0.8540879026666667
9,1.0,4,7,0.9999999999999998,1.0000000000000164,7.813428676958802e-8,2.0539125955565396e-15,0.43068520588099474,5.696220288402272e-11,1.0786492584,NaN,1.0786492584,1.0786492584
9,1.0,4,8,0.9999999999999998,1.0000000000000153,7.596329734860274e-8,3.1086244689504383e-15,0.43068520588099474,5.696220288402272e-11,1.2329136748,NaN,1.2329136748,1.2329136748
9,1.0,5,1,1.0,0.9999999999999998,8366.072594287742,0.00504145707814202,0.43118510348705447,1.2346381090100203e-11,0.00529333835026455,NaN,0.00529333835026455,0.00529333835026455
9,1.0,5,2,1.0,0.9999999999999999,736232.8647510618,0.0004401691716405349,0.43118510348705447,1.2346381090100203e-11,0.03109763300621118,NaN,0.03109763300621118,0.03109763300621118
9,1.0,5,3,1.0,294.4882926940918,3.789709275385748e22,7.117575147621404e11,0.43118510348705447,1.2346381090100203e-11,0.11240239528888889,NaN,0.11240239528888889,0.11240239528888889
9,1.0,5,4,1.0,0.9999999999830064,1.2707133242937861e8,0.16224562669487547,0.43118510348705447,1.2346381090100203e-11,0.313628776,NaN,0.313628776,0.313628776
9,1.0,5,5,1.0,1.0000000000000102,9.315167204197792e-6,1.5543122344752192e-15,0.43118510348705447,1.2346381090100203e-11,0.5839102128888889,NaN,0.5839102128888889,0.5839102128888889
9,1.0,5,6,1.0,1.0000000000000167,3.964691677780298e-6,3.1086244689504383e-15,0.43118510348705447,1.2346381090100203e-11,0.8505996108333334,NaN,0.8505996108333334,0.8505996108333334
9,1.0,5,7,1.0,1.000000000000014,3.1428405766198727e-6,2.9976021664879227e-15,0.43118510348705447,1.2346381090100203e-11,1.0840865417999999,NaN,1.0840865417999999,1.0840865417999999
9,1.0,5,8,1.0,1.0000000000000155,5.228434659346683e-6,1.887379141862766e-15,0.43118510348705447,1.2346381090100203e-11,1.2181859334,NaN,1.2181859334,1.2181859334
9,1.0,6,1,1.0000000000000004,1.0000000000000036,3.19151948774763e6,0.004755380648190866,0.4312358846101633,1.5981759289903036e-11,0.00525441831092437,NaN,0.00525441831092437,0.00525441831092437
9,1.0,6,2,1.0000000000000004,1.0000000000000067,3.04814619583455e6,0.00017997907467630066,0.4312358846101633,1.5981759289903036e-11,0.03140558828125,NaN,0.03140558828125,0.03140558828125
9,1.0,6,3,1.0000000000000004,1.0000000000000089,6.081031750665057e8,0.048307542395158304,0.4312358846101633,1.5981759289903036e-11,0.1108719447173913,NaN,0.1108719447173913,0.1108719447173913
9,1.0,6,4,1.0000000000000004,0.8913518060248526,4.2451463248327607e8,0.07972008969394156,0.4312358846101633,1.5981759289903036e-11,0.3121116247647059,NaN,0.3121116247647059,0.3121116247647059
9,1.0,6,5,1.0000000000000004,0.9999999999998491,1.1653400923624711e7,0.012962643746256382,0.4312358846101633,1.5981759289903036e-11,0.5853619863333334,NaN,0.5853619863333334,0.5853619863333334
9,1.0,6,6,1.0000000000000004,1.0000000000000173,2.278597118705154e-5,4.040575010265824e-15,0.4312358846101633,1.5981759289903036e-11,0.8438009373333334,NaN,0.8438009373333334,0.8438009373333334
9,1.0,6,7,1.0000000000000004,1.0000000000000129,1.6217201942587785e-5,2.9109964357629595e-15,0.4312358846101633,1.5981759289903036e-11,1.0689973334,NaN,1.0689973334,1.0689973334
9,1.0,6,8,1.0000000000000004,1.0000000000000187,1.0976423552687977e-5,2.9242508073215948e-15,0.4312358846101633,1.5981759289903036e-11,1.2403152584000001,NaN,1.2403152584000001,1.2403152584000001
9,1.0,7,1,0.9999999999999998,0.9999999999999969,3.96010655740906e6,0.004654580580056689,0.43124046665817617,2.974266252497733e-13,0.005312107331562168,NaN,0.005312107331562168,0.005312107331562168
9,1.0,7,2,0.9999999999999998,1.0000000000000018,1.5276427056005982e8,0.0001657278050849439,0.43124046665817617,2.974266252497733e-13,0.030956913820987652,NaN,0.030956913820987652,0.030956913820987652
9,1.0,7,3,0.9999999999999998,1.0000000001823377,1.957998063180056e11,0.05823607561772365,0.43124046665817617,2.974266252497733e-13,0.11011714030434783,NaN,0.11011714030434783,0.11011714030434783
9,1.0,7,4,0.9999999999999998,1.010869694825906,1.7942442744317825e11,0.05799516443860997,0.43124046665817617,2.974266252497733e-13,0.31066997070588237,NaN,0.31066997070588237,0.31066997070588237
9,1.0,7,5,0.9999999999999998,1.00000000000017,7.2192908133297205e9,0.009300906637977089,0.43124046665817617,2.974266252497733e-13,0.5808766343333334,NaN,0.5808766343333334,0.5808766343333334
9,1.0,7,6,0.9999999999999998,0.9999999999999983,1.8405737522595262e6,0.0003725058221133714,0.43124046665817617,2.974266252497733e-13,0.8417319378333333,NaN,0.8417319378333333,0.8417319378333333
9,1.0,7,7,0.9999999999999998,0.999999999999993,0.003009271449701732,2.510147953777956e-15,0.43124046665817617,2.974266252497733e-13,1.06214775,NaN,1.06214775,1.06214775
9,1.0,7,8,0.9999999999999998,0.999999999999993,0.0030092719691679733,2.676581763950973e-15,0.43124046665817617,2.974266252497733e-13,1.2204764584,NaN,1.2204764584,1.2204764584
9,1.0,8,1,1.0,0.9999999999999954,2.884528413796919e7,0.004612133892764103,0.431240776717252,4.033856000825614e-14,0.005327250500532482,NaN,0.005327250500532482,0.005327250500532482
9,1.0,8,2,1.0,0.9999999999999962,6.867364800089408e8,0.00015893184385809886,0.431240776717252,4.033856000825614e-14,0.030975956555555555,NaN,0.030975956555555555,0.030975956555555555
9,1.0,8,3,1.0,1.0000000000000007,2.0815692093594578,8.396750446308478e-14,0.431240776717252,4.033856000825614e-14,0.10993206878260871,NaN,0.10993206878260871,0.10993206878260871
9,1.0,8,4,1.0,1.0000000000000009,0.02108985387472066,2.3856445790192138e-15,0.431240776717252,4.033856000825614e-14,0.315025091125,NaN,0.315025091125,0.315025091125
9,1.0,8,5,1.0,0.9999999999999994,0.010872623207600324,1.1657341758564144e-15,0.431240776717252,4.033856000825614e-14,0.5890092177777778,NaN,0.5890092177777778,0.5890092177777778
9,1.0,8,6,1.0,0.9999999999999976,0.006980234036422249,1.1102230246251565e-15,0.431240776717252,4.033856000825614e-14,0.850712111,NaN,0.850712111,0.850712111
9,1.0,8,7,1.0,0.9999999999999991,0.006006847448297392,9.353683192575568e-16,0.431240776717252,4.033856000825614e-14,1.0611581166,NaN,1.0611581166,1.0611581166
9,1.0,8,8,1.0,1.0000000000000013,0.0015382620155891672,1.246813757754372e-15,0.431240776717252,4.033856000825614e-14,1.2339377167999999,NaN,1.2339377167999999,1.2339377167999999
