sketching_order,is_recursive,n_vertices,beta,max_rel_error_mean,max_rel_error_std,max_abs_diff_mean,max_abs_diff_std,max_prob,min_prob,runtime_mean,runtime_std,runtime_min,runtime_max
1,false,3,1.0,6.4704177749121354e-15,NaN,2.220446049250313e-16,NaN,0.387901746287188,0.00710466830930552,0.00015191483129999998,NaN,0.00015191483129999998,0.00015191483129999998
1,false,4,1.0,1.3826215451187831e-14,NaN,1.6653345369377348e-16,NaN,0.3416627246722731,0.0008468972224671558,0.00027984244189999997,NaN,0.00027984244189999997,0.00027984244189999997
1,false,5,1.0,1.5572583401025824e-14,NaN,1.1102230246251565e-16,NaN,0.30093552954529984,0.00010095262357050031,0.0004759749775,NaN,0.0004759749775,0.0004759749775
1,false,6,1.0,1.8863860938974765e-14,NaN,3.3306690738754696e-16,NaN,0.26506313508322665,1.203384771540253e-5,0.0009097177711370263,NaN,0.0009097177711370263,0.0009097177711370263
1,false,7,1.0,2.525265291440107e-14,NaN,4.163336342344337e-16,NaN,0.2334668348609628,1.4344698108451656e-6,0.001768816849858357,NaN,0.001768816849858357,0.001768816849858357
1,false,8,1.0,8.601068354714215e-14,NaN,1.942890293094024e-16,NaN,0.20563690595028108,1.709929930052582e-7,0.003870177877614253,NaN,0.003870177877614253,0.003870177877614253
1,false,9,1.0,2.4964967447053505e-13,NaN,1.3600232051658168e-15,NaN,0.18112438588541907,2.0382864411534165e-8,0.007996396142400001,NaN,0.007996396142400001,0.007996396142400001
1,false,10,1.0,9.356415238279866e-13,NaN,2.3245294578089215e-16,NaN,0.15953382983841774,2.4296969970355355e-9,0.021733352360869564,NaN,0.021733352360869564,0.021733352360869564
1,false,11,1.0,3.267488435466095e-11,NaN,5.273559366969494e-16,NaN,0.1405169311602986,2.896269816749992e-10,0.04260501338135594,NaN,0.04260501338135594,0.04260501338135594
1,false,12,1.0,6.104654562443349e-11,NaN,6.800116025829084e-16,NaN,0.1237669023724074,3.45243825121054e-11,0.10854246631914895,NaN,0.10854246631914895,0.10854246631914895
1,true,3,1.0,5.0054175239886334e-15,NaN,1.1102230246251565e-16,NaN,0.387901746287188,0.00710466830930552,0.0001816152325,NaN,0.0001816152325,0.0001816152325
1,true,4,1.0,7.169148752467765e-15,NaN,2.7755575615628914e-16,NaN,0.3416627246722731,0.0008468972224671558,0.000304669598,NaN,0.000304669598,0.000304669598
1,true,5,1.0,9.447503382395463e-15,NaN,2.7755575615628914e-16,NaN,0.30093552954529984,0.00010095262357050031,0.0005189882588186183,NaN,0.0005189882588186183,0.0005189882588186183
1,true,6,1.0,9.150380306219102e-15,NaN,3.3306690738754696e-16,NaN,0.26506313508322665,1.203384771540253e-5,0.0008575370391819901,NaN,0.0008575370391819901,0.0008575370391819901
1,true,7,1.0,2.332415862891676e-14,NaN,1.942890293094024e-16,NaN,0.2334668348609628,1.4344698108451656e-6,0.0016506023778512396,NaN,0.0016506023778512396,0.0016506023778512396
1,true,8,1.0,8.528485499400171e-14,NaN,1.942890293094024e-16,NaN,0.20563690595028108,1.709929930052582e-7,0.003325770099800399,NaN,0.003325770099800399,0.003325770099800399
1,true,9,1.0,3.9983199772907016e-13,NaN,5.828670879282072e-16,NaN,0.18112438588541907,2.0382864411534165e-8,0.006953909215577191,NaN,0.006953909215577191,0.006953909215577191
1,true,10,1.0,7.576466970300146e-13,NaN,1.27675647831893e-15,NaN,0.15953382983841774,2.4296969970355355e-9,0.015490919910216719,NaN,0.015490919910216719,0.015490919910216719
1,true,11,1.0,5.248811078437252e-11,NaN,8.604228440844963e-16,NaN,0.1405169311602986,2.896269816749992e-10,0.03011376845508982,NaN,0.03011376845508982,0.03011376845508982
1,true,12,1.0,4.534388487569072e-11,NaN,1.1518563880486e-15,NaN,0.1237669023724074,3.45243825121054e-11,0.06515929106493507,NaN,0.06515929106493507,0.06515929106493507
2,false,3,1.0,1.029301451890716e-14,NaN,2.220446049250313e-16,NaN,0.4324774383996878,0.00792110058925346,0.0002420843632,NaN,0.0002420843632,0.0002420843632
2,false,4,1.0,3.782135334926099e-13,NaN,1.497933721505973e-15,NaN,0.4246988083887635,0.0005360021958961585,0.0005550999464782463,NaN,0.0005550999464782463,0.0005550999464782463
2,false,5,1.0,1.7672339963676127e-12,NaN,6.487865800153259e-16,NaN,0.4170600864504331,7.123528916457995e-5,0.0012653393030917384,NaN,0.0012653393030917384,0.0012653393030917384
2,false,6,1.0,9.35932537374085e-13,NaN,1.1965255175550027e-15,NaN,0.4095587561687274,4.820324017765216e-6,0.003415802965140123,NaN,0.003415802965140123,0.003415802965140123
2,false,7,1.0,6.805901477530863e-13,NaN,7.424616477180734e-16,NaN,0.4021923463884638,6.406264338122202e-7,0.007450378411326379,NaN,0.007450378411326379,0.007450378411326379
2,false,8,1.0,2.8483736478061623e-12,NaN,7.385585198971256e-16,NaN,0.39495843040117495,4.3349679934419015e-8,0.017021607149659865,NaN,0.017021607149659865,0.017021607149659865
2,false,9,1.0,1.33495316401767e-11,NaN,1.7208456881689926e-15,NaN,0.3878546251456804,5.761220772906263e-9,0.041327194,NaN,0.041327194,0.041327194
2,false,10,1.0,1.7275195537101627e-10,NaN,8.734332701543224e-16,NaN,0.38087859042304345,3.8984822254496455e-10,0.09961145578431373,NaN,0.09961145578431373,0.09961145578431373
2,false,11,1.0,2.7709982916750532e-9,NaN,1.4918621893400541e-15,NaN,0.374028028125629,5.1811263229727914e-11,0.2808002315,NaN,0.2808002315,0.2808002315
2,false,12,1.0,1.814531524110454e-8,NaN,1.1102230246251565e-15,NaN,0.36730068148005307,3.5059459920209493e-12,0.49483260236363635,NaN,0.49483260236363635,0.49483260236363635
3,false,3,1.0,1.029301451890716e-14,NaN,2.220446049250313e-16,NaN,0.4324774383996878,0.00792110058925346,0.00032882296529999997,NaN,0.00032882296529999997,0.00032882296529999997
3,false,4,1.0,1.7357718677323332e-13,NaN,2.220446049250313e-16,NaN,0.4314080846707787,0.0009442183358701297,0.0008977656322522522,NaN,0.0008977656322522522,0.0008977656322522522
3,false,5,1.0,2.433425208710208e-12,NaN,2.2920033926343564e-15,NaN,0.4303413750506622,6.490239264170526e-5,0.002936875967666079,NaN,0.002936875967666079,0.002936875967666079
3,false,6,1.0,1.4442237335954426e-10,NaN,1.5483084649450807e-15,NaN,0.42927730300145395,2.056393522392684e-6,0.008644110331606216,NaN,0.008644110331606216,0.008644110331606216
3,false,7,1.0,1.0218461695833734e-10,NaN,3.1433189384699745e-15,NaN,0.4282158620014347,2.4512811669656265e-7,0.019881685357142857,NaN,0.019881685357142857,0.019881685357142857
3,false,8,1.0,6.029762398511245e-10,NaN,8.935723255082406e-16,NaN,0.4271570455450115,1.6849282282472294e-8,0.06153676418292683,NaN,0.06153676418292683,0.06153676418292683
3,false,9,1.0,1.1450407687237237e-9,NaN,1.207801220148852e-15,NaN,0.426100847142677,5.338594392647564e-10,0.1554429508529412,NaN,0.1554429508529412,0.1554429508529412
3,false,10,1.0,1.5911976555038116e-9,NaN,2.8143584468107163e-15,NaN,0.42504726032097245,6.363760510944847e-11,0.47205729175,NaN,0.47205729175,0.47205729175
3,false,11,1.0,2.118607282873229e-6,NaN,1.27675647831893e-15,NaN,0.423996278622435,4.374234937711759e-12,1.0173651498,NaN,1.0173651498,1.0173651498
3,false,12,1.0,2.953726999763293e-5,NaN,2.2234411577518043e-15,NaN,0.42294789560558405,1.3859501977056605e-13,3.148481104,NaN,3.148481104,3.148481104
